Campaign Description History,Call Type Designation,TFN,,Script,Transfer,Percent,Report,SalesForceID,SourceID,BusinessDesignation,BusinessSourceID,Greeting
PI Ubiquity Logo Overnight Spot NTL18,Broadcast,8006063570,,Consumer Residential,0,,1,,,,,
DTV Family,Broadcast,8006063710,,Consumer Residential,0,,1,,,,,
DTV Adult,Broadcast,8006074743,,Consumer Residential,0,,1,,,,,
DTV Male,Broadcast,8006074835,,Consumer Residential,0,,1,,,,,
DTV Lifestyle,Broadcast,8006076715,,Consumer Residential,0,,1,,,,,
DTV News,Broadcast,8006076759,,Consumer Residential,0,,1,,,,,
DTV Sports,Broadcast,8006076819,,Consumer Residential,0,,1,,,,,
DTV Female,Broadcast,8006077898,,Consumer Residential,0,,1,,,,,
DTV Young Adult,Broadcast,8006078304,,Consumer Residential,0,,1,,,,,
DTV Information,Broadcast,8006078419,,Consumer Residential,0,,1,,,,,
DTV Entertainment,Broadcast,8006086045,,Consumer Residential,0,,1,,,,,
DTV Lifestyle UA,Broadcast,8006092016,,Consumer Residential,0,,1,,,,,
DTV Female UA,Broadcast,8006092017,,Consumer Residential,0,,1,,,,,
DTV Info UA,Broadcast,8006092018,,Consumer Residential,0,,1,,,,,
DTV Entertain UA,Broadcast,8006092019,,Consumer Residential,0,,1,,,,,
DTV Adult,Broadcast,8006092039,,Consumer Residential,0,,1,,,,,
DTV Male,Broadcast,8006093582,,Consumer Residential,0,,1,,,,,
DTV Lifestyle,Broadcast,8006093583,,Consumer Residential,0,,1,,,,,
DTV Male,Broadcast,8006093792,,Consumer Residential,0,,1,,,,,
DTV Lifestyle,Broadcast,8006095432,,Consumer Residential,0,,1,,,,,
DTV News,Broadcast,8006098106,,Consumer Residential,0,,1,,,,,
DTV News,Broadcast,8006099167,,Consumer Residential,0,,1,,,,,
PI Ubiquity Logo Overnight Spot NTL19,Broadcast,8006130154,,Consumer Residential,0,,1,,,,,
PI Ubiquity Logo Overnight Spot NTL09,Broadcast,8006130659,,Consumer Residential,0,,1,,,,,
DTV Sports,Broadcast,8006164463,,Consumer Residential,0,,1,,,,,
DTV Female,Broadcast,8006177624,,Consumer Residential,0,,1,,,,,
Ag Day,Broadcast,8006183594,,Consumer Residential,0,,1,,,,,
US Farm Report,Broadcast,8006188243,,Consumer Residential,0,,1,,,,,
Ag Day Ubiquity Logo Overnight Spot,Broadcast,8006209943,,Consumer Residential,0,,1,,,,,
DTV Family Male,Broadcast,8006254600,,Consumer Residential,0,,1,,,,,
DISH Family,Broadcast,8006277936,,Consumer Residential,0,,1,,,,,
US Farm Report Ubiquity Logo Overnight Spot,Broadcast,8006278048,,Consumer Residential,0,,1,,,,,
DISH Recovery Act,Campaigns,8006303929,,Consumer Residential,0,,0,,,,,
Hughes Automated Dialer Caller ID,Other,8006310308,,Consumer Residential,0,,0,,,,,
DISH Family,Broadcast,8006358925,,Consumer Residential,0,,1,,,,,
DTV Sports,Broadcast,8006615467,,Consumer Residential,0,,1,,,,,
DTV Adult Underaddressable,Broadcast,8006616435,,Consumer Residential,0,,1,,,,,
DTV Male Underaddressable,Broadcast,8006616476,,Consumer Residential,0,,1,,,,,
DTV Lifestyle Underaddressable,Broadcast,8006616482,,Consumer Residential,0,,1,,,,,
DTV Female Underaddressable,Broadcast,8006616536,,Consumer Residential,0,,1,,,,,
DTV Information Underaddressable,Broadcast,8006617302,,Consumer Residential,0,,1,,,,,
DTV Entertainment Underaddressable,Broadcast,8006617459,,Consumer Residential,0,,1,,,,,
DISH Adult Q1 2018 Offer,Broadcast2,8007248690,,Consumer Residential,0,,1,,,,,
DISH Entertainment Q1 2018 Offer,Broadcast2,8007274810,,Consumer Residential,0,,1,,,,,
DISH Mens Q1 2018 Offer,Broadcast2,8007274850,,Consumer Residential,0,,1,,,,,
DISH News Q1 2018 Offer,Broadcast2,8007282340,,Consumer Residential,0,,1,,,,,
DISH Sports Q1 2018 Offer,Broadcast2,8007284380,,Consumer Residential,0,,1,,,,,
DISH Women Q1 2018 Offer,Broadcast2,8007285640,,Consumer Residential,0,,1,,,,,
DTV Adult Q1 2018 Offer,Broadcast,8007367315,,Consumer Residential,0,,1,,,,,
DTV Male Q1 2018 Offer,Broadcast,8007369250,,Consumer Residential,0,,1,,,,,
DTV Lifestyle Q1 2018 Offer,Broadcast,8007435304,,Consumer Residential,0,,1,,,,,
DTV News Q1 2018 Offer,Broadcast,8007439610,,Consumer Residential,0,,1,,,,,
DTV Sports Q1 2018 Offer,Broadcast,8007466210,,Consumer Residential,0,,1,,,,,
DTV Female Q1 2018 Offer,Broadcast,8007474610,,Consumer Residential,0,,1,,,,,
DTV Young Adult Q1 2018 Offer,Broadcast,8007476280,,Consumer Residential,0,,1,,,,,
DTV Information Q1 2018 Offer,Broadcast,8007485218,,Consumer Residential,0,,1,,,,,
DTV Entertainment Q1 2018 Offer,Broadcast,8007486804,,Consumer Residential,0,,1,,,,,
DTV Adult UA Q1 2018 Offer,Broadcast,8007495250,,Consumer Residential,0,,1,,,,,
DTV Male UA Q1 2018 Offer,Broadcast,8007495270,,Consumer Residential,0,,1,,,,,
DTV Lifestyle UA Q1 2018 Offer,Broadcast,8007543740,,Consumer Residential,0,,1,,,,,
National Cable Movies Q1 2018 Offer,Broadcast,8007544670,,Consumer Residential,0,,1,,,,,
DTV Information UA Q1 2018 Offer,Broadcast,8007563253,,Consumer Residential,0,,1,,,,,
DTV Entertainment UA Q1 2018 Offer,Broadcast,8007579787,,Consumer Residential,0,,1,,,,,
DISH Installer 60 Installer 30 V1 Free Install Gen4,Broadcast,8007664646,,Consumer Residential,0,,1,,,,,
DTV Where You Live A Adult,Broadcast,8009141137,,Consumer Residential,0,,1,,,,,
DTV Where You Live A Male,Broadcast,8009141195,,Consumer Residential,0,,1,,,,,
DTV Lifestyle,Broadcast,8009141249,,Consumer Residential,0,,1,,,,,
DTV 2015 Adult UA,Broadcast,8009141342,,Consumer Residential,0,,1,,,,,
DTV 2015 Male UA,Broadcast,8009141508,,Consumer Residential,0,,1,,,,,
DTV Lifestyle UA,Broadcast,8009141589,,Consumer Residential,0,,1,,,,,
DTV Young Adult,Broadcast,8009141684,,Consumer Residential,0,,1,,,,,
DTV Where You Live Adult,Broadcast,8009141687,,Consumer Residential,0,,1,,,,,
DTV Where You Live Male,Broadcast,8009141745,,Consumer Residential,0,,1,,,,,
DTV News UA,Broadcast,8009141746,,Consumer Residential,0,,1,,,,,
DTV Adult UA,Broadcast,8009141853,,Consumer Residential,0,,1,,,,,
DTV Male UA,Broadcast,8009141868,,Consumer Residential,0,,1,,,,,
DTV Sports UA,Broadcast,8009142395,,Consumer Residential,0,,1,,,,,
DTV Information,Broadcast,8009142534,,Consumer Residential,0,,1,,,,,
DTV News,Broadcast,8009142805,,Consumer Residential,0,,1,,,,,
DTV Sports,Broadcast,8009142926,,Consumer Residential,0,,1,,,,,
DTV Female,Broadcast,8009143052,,Consumer Residential,0,,1,,,,,
DTV Young Adult,Broadcast,8009143059,,Consumer Residential,0,,1,,,,,
DTV Information,Broadcast,8009143218,,Consumer Residential,0,,1,,,,,
DTV Entertainment,Broadcast,8009143606,,Consumer Residential,0,,1,,,,,
DTV Overnight 2015 Adult,Broadcast,8009143619,,Consumer Residential,0,,1,,,,,
DTV Overnight 2015 Lifestyle,Broadcast,8009144054,,Consumer Residential,0,,1,,,,,
DTV Female UA,Broadcast,8009144065,,Consumer Residential,0,,1,,,,,
National Cable MeTV,Broadcast,8009144102,,Consumer Residential,0,,1,,,,,
National Cable MavTV,Broadcast,8009144136,,Consumer Residential,0,,1,,,,,
National Cable Pursuit Channel ,Broadcast,8009144186,,Consumer Residential,0,,1,,,,,
National Cable Weather Nation,Broadcast,8009144252,,Consumer Residential,0,,1,,,,,
DTV Entertainment,Broadcast,8009144286,,Consumer Residential,0,,1,,,,,
DTV Young Adult UA,Broadcast,8009144294,,Consumer Residential,0,,1,,,,,
DTV Information UA,Broadcast,8009144639,,Consumer Residential,0,,1,,,,,
DTV Entertainment UA,Broadcast,8009144825,,Consumer Residential,0,,1,,,,,
DTV Kids UA,Broadcast,8009144858,,Consumer Residential,0,,1,,,,,
DTV Kids   ,Broadcast,8009144883,,Consumer Residential,0,,1,,,,,
DTV Adult UA,Broadcast,8009144986,,Consumer Residential,0,,1,,,,,
DTV Female,Broadcast,8009144998,,Consumer Residential,0,,1,,,,,
Ag Day,Broadcast,8009145042,,Consumer Residential,0,,1,,,,,
US Farm Report,Broadcast,8009145407,,Consumer Residential,0,,1,,,,,
DTV Male UA,Broadcast,8009145574,,Consumer Residential,0,,1,,,,,
DTV Lifestyle UA,Broadcast,8009145699,,Consumer Residential,0,,1,,,,,
DTV 2015 Addressable,Broadcast,8009145889,,Consumer Residential,0,,1,,,,,
DTV 2015 Addressable,Broadcast,8009145989,,Consumer Residential,0,,1,,,,,
National Cable MeTV,Broadcast,8009146103,,Consumer Residential,0,,1,,,,,
National Cable Pursuit Channel,Broadcast,8009146152,,Consumer Residential,0,,1,,,,,
National Cable Weather Nation,Broadcast,8009146236,,Consumer Residential,0,,1,,,,,
TV 2015 Dub 6,Broadcast,8009146293,,Consumer Residential,0,,1,,,,,
DTV Young Adult,Broadcast,8009146386,,Consumer Residential,0,,1,,,,,
DTV Information,Broadcast,8009146803,,Consumer Residential,0,,1,,,,,
DTV Entertainment,Broadcast,8009146813,,Consumer Residential,0,,1,,,,,
DTV Info UA,Broadcast,8009146936,,Consumer Residential,0,,1,,,,,
DTV Female UA,Broadcast,8009147413,,Consumer Residential,0,,1,,,,,
DTV Installer 60 V1 Free Install Gen4,Broadcast,8009206200,,Consumer Residential,0,,1,,,,,
TV Test May 2017,Broadcast,8009275926,,Consumer Residential,0,,1,,,,,
DTV Entertainment UA,Broadcast,8009692296,,Consumer Residential,0,,1,,,,,
BI 112 Cell A,Business,8009705280,,Business,0,,0,,,Business Campaigns,,
BI 112  Cell A,Business,8009705290,,Business,0,,0,,,Business Campaigns,,
BI B2B 112 Cell A,Business,8009705370,,Business,0,,0,,,Business Campaigns,,
BI B2B 112  Cell B,Business,8009705480,,Business,0,,0,,,Business Campaigns,,
BI B2B 112  Cell C,Business,8009705570,,Business,0,,0,,,Business Campaigns,,
DISH Gen5 Addressable,Broadcast2,8009749973,,Consumer Residential,0,,1,,,,,
HomeNet Solutions,Dealer,8442018654,,Consumer Residential,0,,0,,86708,,,<font size='8' color='red'><b>Thank you for calling HomeNet Solutions! Don't forget to ask about our special offers today!</b></font>
Davis Communications,Dealer,8442030830,,Consumer Residential,0,,0,,213386,,,<font size='8' color='red'><b>Thank you for calling Davis Communications! Don't forget to ask about our special offers today!</b></font>
Bluegrass Satellite,Dealer,8442030831,,Consumer Residential,0,,0,,213829,,,<font size='8' color='red'><b>Thank you for calling Bluegrass Satellite! Don't forget to ask about our special offers today!</b></font>
El Dorado Networks,Dealer,8442030832,,Consumer Residential,0,,0,,69906,,,<font size='8' color='red'><b>Thank you for calling El Dorado Networks! Don't forget to ask about our special offers today!</b></font>
Satstore USA,Dealer,8442030833,,Consumer Residential,0,,0,,69145,,,<font size='8' color='red'><b>Thank you for calling Satstore USA! Don't forget to ask about our special offers today!</b></font>
Southern Satellites,Dealer,8442030834,,Consumer Residential,0,,0,,69155,,,<font size='8' color='red'><b>Thank you for calling Southern Satellites! Don't forget to ask about our special offers today!</b></font>
Satellite World,Dealer,8442030835,,Consumer Residential,0,,0,,54552,,,<font size='8' color='red'><b>Thank you for calling Satellite World! Don't forget to ask about our special offers today!</b></font>
Simmons Satellite,Dealer,8442030836,,Consumer Residential,0,,0,,69495,,,<font size='8' color='red'><b>Thank you for calling Simmons Satellite! Don't forget to ask about our special offers today!</b></font>
American Dish,Dealer,8442030837,,Consumer Residential,0,,0,,40756,,,<font size='8' color='red'><b>Thank you for calling American Dish! Don't forget to ask about our special offers today!</b></font>
Video Busters,Dealer,8442030838,,Consumer Residential,0,,0,,16559,,,<font size='8' color='red'><b>Thank you for calling Video Busters! Don't forget to ask about our special offers today!</b></font>
The Dish Installer,Dealer,8442030839,,Consumer Residential,0,,0,,213267,,,<font size='8' color='red'><b>Thank you for calling The Dish Installer! Don't forget to ask about our special offers today!</b></font>
DirecTek,Dealer,8442033085,,Consumer Residential,0,,0,,78930,,,<font size='8' color='red'><b>Thank you for calling DirecTek! Don't forget to ask about our special offers today!</b></font>
Custom Satellite,Dealer,8442041244,,Consumer Residential,0,,0,,42605,,,<font size='8' color='red'><b>Thank you for calling Custom Satellite! Don't forget to ask about our special offers today!</b></font>
Dish Midwest,Dealer,8442046297,,Consumer Residential,0,,0,,87326,,,<font size='8' color='red'><b>Thank you for calling Dish Midwest! Don't forget to ask about our special offers today!</b></font>
Big Bear TV and Internet,Dealer,8442065541,,Consumer Residential,0,,0,,213904,,,<font size='8' color='red'><b>Thank you for calling Big Bear TV and Internet! Don't forget to ask about our special offers today!</b></font>
DM 218 Odd 760 Even 1250 Cutoff ANI EPQ,Direct Mail,8442087822,,Consumer Residential,0,,0,,,,,
DM 218 Odd 760 Even 1250 Cutoff BM,Direct Mail,8442087823,,Consumer Residential,0,,0,,,,,
DM 218 Odd 760 Even 1250 Cutoff ANI EPQ,Direct Mail,8442087824,,Consumer Residential,0,,0,,,,,
DM 318 Odd 1500 Even 1000 Cutoff  ANI EPQ,Direct Mail,8442087826,,Consumer Residential,0,,0,,,,,
DM 817 Outfield,Campaigns,8442087827,,Consumer Residential,0,,0,,,,,
Comm Sat Communication,Dealer,8442087828,,Consumer Residential,0,,0,,52882,,,<font size='8' color='red'><b>Thank you for calling Comm Sat Communication! Don't forget to ask about our special offers today!</b></font>
DM 418 ANI EPQ Standard,Direct Mail,8442087829,,Consumer Residential,0,,0,,,,,
DM 218 Odd 760  Even 1250 Cutoff BM,Direct Mail,8442087843,,Consumer Residential,0,,0,,,,,
DM 218 Odd 760 Even 1250 Cutoff ANI EPQ,Direct Mail,8442087844,,Consumer Residential,0,,0,,,,,
DM 218 Odd 760 Even 1250 Cutoff BM,Direct Mail,8442087845,,Consumer Residential,0,,0,,,,,
Cruse Computers,Dealer,8442130994,,Consumer Residential,0,,0,,88155,,,<font size='8' color='red'><b>Thank you for calling Cruse Computers! Don't forget to ask about our special offers today!</b></font>
Eclipse Audio and Video,Dealer,8442130995,,Consumer Residential,0,,0,,213832,,,<font size='8' color='red'><b>Thank you for calling Eclipse Audio and Video! Don't forget to ask about our special offers today!</b></font>
Smith Satellite and Home Solutions ,Dealer,8442130996,,Consumer Residential,0,,0,,213388,,,<font size='8' color='red'><b>Thank you for calling Smith Satellite and Home Solutions! Don't forget to ask about our special offers today!</b></font>
BI HughesNet Business Website TFN,Business,8442130999,,Business,0,,0,7013A000000tzXS,,,,
Florida Totalcom Inc,Dealer,8442131230,,Consumer Residential,0,,0,,87230,,,<font size='8' color='red'><b>Thank you for calling Florida Totalcom Inc! Don't forget to ask about our special offers today!</b></font>
SoundScape Communications,Dealer,8442131304,,Consumer Residential,0,,0,,70765,,,<font size='8' color='red'><b>Thank you for calling SoundScape Communications! Don't forget to ask about our special offers today!</b></font>
Zodiak Technology,Dealer,8442131305,,Consumer Residential,0,,0,,213527,,,<font size='8' color='red'><b>Thank you for calling Zodiak Technology! Don't forget to ask about our special offers today!</b></font>
Ace Tel Communications,Dealer,8442131306,,Consumer Residential,0,,0,,70771,,,<font size='8' color='red'><b>Thank you for calling Ace Tel Communications! Don't forget to ask about our special offers today!</b></font>
Ducarto Systems Ltd Inc,Dealer,8442131307,,Consumer Residential,0,,0,,206675,,,<font size='8' color='red'><b>Thank you for calling Ducarto Systems Ltd Inc! Don't forget to ask about our special offers today!</b></font>
Linkshare,Web Managed,8442131308,,Consumer Residential,0,,0,,,,,
2 Tech Innovations,Dealer,8442131309,,Consumer Residential,0,,0,,208453,,,<font size='8' color='red'><b>Thank you for calling 2 Tech Innovations! Don't forget to ask about our special offers today!</b></font>
Satellite Networking,Dealer,8442131310,,Consumer Residential,0,,0,,69073,,,<font size='8' color='red'><b>Thank you for calling Satellite Networking! Don't forget to ask about our special offers today!</b></font>
Empire Satellites,Dealer,8442131376,,Consumer Residential,0,,0,,65925,,,<font size='8' color='red'><b>Thank you for calling Empire Satellites! Don't forget to ask about our special offers today!</b></font>
Sportsman Information Service,Dealer,8442131377,,Consumer Residential,0,,0,,52911,,,<font size='8' color='red'><b>Thank you for calling Sportsman Information Service! Don't forget to ask about our special offers today!</b></font>
Mesilla Valley Satellites ,Dealer,8442138690,,Consumer Residential,0,,0,,40364,,,<font size='8' color='red'><b>Thank you for calling Mesilla Valley Satellites! Don't forget to ask about our special offers today!</b></font>
Just Safe Alert LLC ,Dealer,8442138691,,Consumer Residential,0,,0,,208816,,,<font size='8' color='red'><b>Thank you for calling Hughes Net! Don't forget to ask about our special offers today!</b></font>
Off the Grid Internet,Dealer,8442138692,,Consumer Residential,0,,0,,92520,,,<font size='8' color='red'><b>Thank you for calling Off the Grid Internet! Don't forget to ask about our special offers today!</b></font>
Sensible Building Solutions,Dealer,8442138790,,Consumer Residential,0,,0,,87573,,,<font size='8' color='red'><b>Thank you for calling Sensible Building Solutions! Don't forget to ask about our special offers today!</b></font>
TNT Satellite,Dealer,8442138794,,Consumer Residential,0,,0,,53262,,,<font size='8' color='red'><b>Thank you for calling TNT Satellite! Don't forget to ask about our special offers today!</b></font>
Sky Systems LLC,Dealer,8442138795,,Consumer Residential,0,,0,,88706,,,<font size='8' color='red'><b>Thank you for calling Sky Systems LLC! Don't forget to ask about our special offers today!</b></font>
Carrasco Serrano Services ,Dealer,8442138796,,Consumer Residential,0,,0,,88845,,,<font size='8' color='red'><b>Thank you for calling Carrasco Serrano Services! Don't forget to ask about our special offers today!</b></font>
2 Connect Homes Inc,Dealer,8442140196,,Consumer Residential,0,,0,,72540,,,<font size='8' color='red'><b>Thank you for calling 2 Connect Homes Inc! Don't forget to ask about our special offers today!</b></font>
Comclear Satellite,Dealer,8442140198,,Consumer Residential,0,,0,,77941,,,<font size='8' color='red'><b>Thank you for calling Comclear Satellite! Don't forget to ask about our special offers today!</b></font>
